"text","intent"
"не могу уснуть уже почти час","insomnia_now"
"лежу в кровати и никак не засыпаю","insomnia_now"
"сон не приходит, хотя очень хочу спать","insomnia_now"
"проснулся ночью и не могу уснуть обратно","insomnia_now"
"снова бессонница, что делать","insomnia_now"
"вроде устал, а заснуть не получается","insomnia_now"
"в кровати давно, а сна все нет","insomnia_now"
"уже поздно, а я до сих пор бодрствую","insomnia_now"
"помоги уснуть, пожалуйста","insomnia_now"
"не могу отключить мысли перед сном","insomnia_now"
"не получается провалиться в сон после напряженного дня, как мягко переключиться на сон.","insomnia_now"
"никак не засыпаю — из-за перегруза в голове, и это выматывает. как быстрее успокоиться?","insomnia_now"
"опять не спится из-за тревоги, как вернуть сон.","insomnia_now"
"никак не засыпаю из-за внутреннего напряжения. как мягко переключиться на сон?","insomnia_now"
"все еще не сплю из-за мыслей о работе, как мягко переключиться на сон.","insomnia_now"
"опять не спится; из-за мыслей о работе, поэтому не отключаюсь. как вернуть сон.","insomnia_now"
"не могу уснуть без явной причины, как мягко переключиться на сон.","insomnia_now"
"Уже долго все еще не сплю; похоже, это из-за тревоги. дай короткий совет?","insomnia_now"
"лежу и не засыпаю; после напряженного дня, поэтому не отключаюсь. как быстрее успокоиться.","insomnia_now"
"засыпание снова сорвалось из-за перегруза в голове. дай короткий совет?","insomnia_now"
"опять не спится — без явной причины, и это выматывает. как вернуть сон?","insomnia_now"
"никак не засыпаю; из-за перегруза в голове, поэтому не отключаюсь. как быстрее успокоиться.","insomnia_now"
"не могу уснуть. Кажется, это без явной причины. как вернуть сон.","insomnia_now"
"не могу отключить голову. Кажется, это из-за внутреннего напряжения. что сделать, чтобы отпустило.","insomnia_now"
"Уже долго опять не спится; похоже, это после долгого скролла в телефоне. что сделать, чтобы отпустило?","insomnia_now"
"все еще не сплю после напряженного дня. как вернуть сон?","insomnia_now"
"опять не спится — перед важной встречей, и это выматывает. как перестать крутить мысли?","insomnia_now"
"сон как будто завис перед важной встречей. как быстрее успокоиться?","insomnia_now"
"не могу отключить голову — из-за внутреннего напряжения, и это выматывает. дай короткий совет?","insomnia_now"
"сон не идет после долгого скролла в телефоне, как мягко переключиться на сон.","insomnia_now"
"никак не засыпаю — из-за перегруза в голове, и это выматывает. что сделать, чтобы отпустило?","insomnia_now"
"не получается провалиться в сон; без явной причины, поэтому не отключаюсь. как перестать крутить мысли.","insomnia_now"
"Уже долго сон как будто завис; похоже, это из-за мыслей о работе. как быстрее успокоиться?","insomnia_now"
"Уже долго сон как будто завис; похоже, это из-за мыслей о работе. что можно сделать прямо сейчас?","insomnia_now"
"опять не спится, после долгого скролла в телефоне. Очень нужен совет.","insomnia_now"
"не получается провалиться в сон — из-за тревоги, и это выматывает. как перестать крутить мысли?","insomnia_now"
"сон не идет. Кажется, это без явной причины. как быстрее успокоиться.","insomnia_now"
"Сейчас не могу уснуть после позднего кофе, есть быстрый способ помочь себе.","insomnia_now"
"все еще не сплю. Кажется, это из-за внутреннего напряжения. как мягко переключиться на сон.","insomnia_now"
"никак не засыпаю, после напряженного дня. Очень нужен совет.","insomnia_now"
"не могу отключить голову, перед важной встречей. Очень нужен совет.","insomnia_now"
"не могу отключить голову — перед важной встречей, и это выматывает. как мягко переключиться на сон?","insomnia_now"
"лежу и не засыпаю после позднего кофе. дай короткий совет?","insomnia_now"
"сон не идет, потому что после напряженного дня. как вернуть сон.","insomnia_now"
"Уже долго не могу уснуть; похоже, это после долгого скролла в телефоне. дай короткий совет?","insomnia_now"
"засыпание снова сорвалось, из-за тревоги. Очень нужен совет.","insomnia_now"
"Сейчас не могу отключить голову после ссоры, что сделать, чтобы отпустило.","insomnia_now"
"не могу отключить голову. Кажется, это без явной причины. что можно сделать прямо сейчас.","insomnia_now"
"не могу отключить голову, из-за внутреннего напряжения. Очень нужен совет.","insomnia_now"
"лежу и не засыпаю, из-за мыслей о работе. Очень нужен совет.","insomnia_now"
"не могу уснуть, потому что после позднего кофе. как быстрее успокоиться.","insomnia_now"
"сон как будто завис — после напряженного дня, и это выматывает. как быстрее успокоиться?","insomnia_now"
"опять не спится из-за тревоги, как быстрее успокоиться.","insomnia_now"
"опять не спится — после напряженного дня, и это выматывает. как быстрее успокоиться?","insomnia_now"
"опять не спится, потому что тревоги. как быстрее успокоиться.","insomnia_now"
"Уже долго опять не спится; похоже, это из-за внутреннего напряжения. дай короткий совет?","insomnia_now"
"не получается провалиться в сон. Кажется, это без явной причины. что сделать, чтобы отпустило.","insomnia_now"
"никак не засыпаю. Кажется, это из-за мыслей о работе. как перестать крутить мысли.","insomnia_now"
"сон как будто завис после долгого скролла в телефоне. есть быстрый способ помочь себе?","insomnia_now"
"Уже долго сон не идет; похоже, это из-за мыслей о работе. что сделать, чтобы отпустило?","insomnia_now"
"сон как будто завис, потому что после напряженного дня. что можно сделать прямо сейчас.","insomnia_now"
"Опять не могу отключить голову после ссоры, помоги, пожалуйста.","insomnia_now"
"не могу уснуть из-за перегруза в голове. есть быстрый способ помочь себе?","insomnia_now"
